Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
French onion soup,Other,-,100g,55.61,4.28,11.41,14.39
Hot and sour soup,Other,-,100g,31.51,1.78,3.12,1.31
Talaumein soup,Other,-,100g,35.63,4.17,10.12,12.78
Cold cucumber soup (Thanda kheere ka soup),Other,-,100g,48.03,4.58,2.99,1.99
Cold summer garden soup,Other,-,100g,49.19,2.65,8.57,14.08
Chapati/Roti,Main course,-,100g,202.31,35.65,5.88,3.56
Plain parantha/paratha,Main course,-,100g,298.3,30.69,5.06,16.86
Potato parantha/paratha (Aloo ka parantha/paratha),Main course,-,100g,205.04,23.92,3.7,10.22
Radish parantha/paratha (Mooli ka parantha/paratha),Main course,-,100g,183.52,20.54,3.3,9.53
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Main course,-,100g,178.07,18.84,3.73,9.47
Dal parantha/paratha,Main course,-,100g,268.24,30.03,6.78,13.05
Sprouted moong parantha/paratha,Main course,-,100g,228.59,24.31,4.29,12.43
Pea parantha/paratha (Matar ka parantha/paratha),Main course,-,100g,190.73,21.51,5.59,8.8
Keema parantha/paratha,Main course,-,100g,238.09,18.36,9.41,13.91
Paneer parantha/paratha,Main course,-,100g,262.97,24.33,7.98,14.62
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Main course,-,100g,216.49,21.39,5.54,12.09
Poori,Main course,-,100g,737.63,8.22,1.35,77.61
Spinach poori (Palak poori),Main course,-,100g,684.25,7.76,1.42,71.86
Methi poori,Main course,-,100g,710.02,7.98,1.45,74.6
Dal stuffed poori,Main course,-,100g,785.16,10.14,2.08,81.69
Potato stuffed poori (Aloo ki poori),Main course,-,100g,776.74,9.4,1.52,81.35
Tandoori parantha/paratha,Main course,-,100g,295.37,30.74,5.08,16.51
Boiled rice (Uble chawal),Main course,-,100g,117.19,25.72,2.6,0.18
Plain pulao,Main course,-,100g,140.21,21.82,2.34,4.62
Mixed vegetable pulao,Main course,-,100g,113.05,17.49,2.72,3.33
Mushroom pulao,Main course,-,100g,124.29,19.02,2.52,4.03
Sprouted moong pulao,Main course,-,100g,112.97,17.49,2.19,3.61
Paneer pulao,Main course,-,100g,581.91,8.76,1.98,59.81
Peanut pulao,Main course,-,100g,193.28,21.18,5.32,9.51
Navratan pulao,Main course,-,100g,261.71,36.98,6.2,9.45
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Main course,-,100g,173.43,27.57,4.88,4.82
Mutton biryani/biriyani,Main course,-,100g,190.76,22.5,7.38,7.72
Vegetable biryani/biriyani,Main course,-,100g,174.61,18.56,3.16,9.51
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Main course,-,100g,176.3,21.62,4.26,7.88
Sweet rice (Meethe chawal),Main course,-,100g,215.41,42.59,2.1,4.57
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),Main course,-,100g,195.74,32.93,5.75,4.32
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Main course,-,100g,373.04,65.08,7.45,8.53
Spanish rice,Main course,-,100g,164.24,31.1,4.19,2.23
Chinese fried rice,Main course,-,100g,120.58,13.4,4.05,5.43
Macroni cheese pie,Main course,-,100g,170.63,21.1,5.85,7.48
Vegetable chowmein,Main course,-,100g,129.71,15.44,3.07,6.36
Chicken chowmein,Main course,-,100g,151.33,13.3,6.33,8.23
Cheese noodle ring,Main course,-,100g,133.67,13.96,6.22,6.12
Spaghetti and cheese balls in tomato sauce,Main course,-,100g,508.32,7.82,2.41,52.08
Penne platter,Main course,-,100g,177.4,20.87,5.04,8.71
Pasta hot pot,Main course,-,100g,125.17,11.6,5.84,6.47
Chicken lasagne,Main course,-,100g,187.49,13.9,10.45,10.36
Fettuccine with spinach sauce,Main course,-,100g,129.21,12.19,3.1,7.83
Naan,Main course,-,100g,286.45,51.75,8.05,4.99
Bhatura,Main course,-,100g,793.2,10.73,1.63,82.56
Idli,Main course,-,100g,137.54,28.18,4.64,0.33
Masala dosa,Main course,-,100g,164.58,19.57,3.29,7.84
Semolina dosa (Suji/Rava dosa),Main course,-,100g,227.05,32.84,7.3,7.12
Onion tomato uttapam,Main course,-,100g,462.02,11.32,1.91,45.3
Paneer kaathi roll,Main course,-,100g,285.94,20.1,6.92,19.55
Makki ki roti,Main course,-,100g,263.97,24.19,3.49,16.85
Washed moong dal (Dhuli moong ki dal),Main course,-,100g,50,5.91,2.68,1.68
Washed urad dal (Dhuli urad ki dal),Main course,-,100g,61.32,5.84,2.51,2.98
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Main course,-,100g,73.25,7.1,2.79,3.6
Dry washed urad,Main course,-,100g,124.71,15.66,6.85,3.5
Mixed dal,Main course,-,100g,61.93,5.79,2.51,3.1
Whole moong (Moong ki dal),Main course,-,100g,53.7,5.22,2.25,2.56
Whole masoor (Masoor ki dal),Main course,-,100g,54.05,5.37,2.28,2.52
Whole moth (Moth ki dal),Main course,-,100g,55,5.74,2.01,2.62
Whole urad (Urad ki dal),Main course,-,100g,53.8,5.05,2.21,2.62
Moti mahal dal (Urad rajmah mix dal),Main course,-,100g,103.13,8.74,3.93,5.66
Black channa curry/Bengal gram curry (Kale chane ki curry),Main course,-,100g,140.68,14.11,5.67,6.61
Chickpeas curry (Safed channa curry),Main course,-,100g,163.43,19.98,6.1,6.84
Lobia curry,Main course,-,100g,148.99,17.88,6.06,5.62
Soyabean curry,Main course,-,100g,163.28,6.76,10.43,10.19
Kidney bean curry (Rajmah curry),Main course,-,100g,143.73,16.38,5.95,5.77
Sambar,Main course,-,100g,96.92,10.57,3.35,4.38
Besan kadhi with pakodies,Main course,-,100g,403.35,3.56,1.64,42.59
Khatta channa,Main course,-,100g,202.57,21.14,6.3,10.56
Sprouted moong dal chat,Main course,-,100g,32.47,6.01,1.35,0.32
Potato cauliflower (Aloo gobhi),Main course,-,100g,106.18,5.99,1.9,8.13
Potato capsicum (Shimla mirch aloo),Main course,-,100g,125.53,8.72,1.41,9.33
Cabbage and peas (Pattagobhi aur matar),Main course,-,100g,63.88,6.24,3.24,2.64
Carrot and fenugreek leaves (Gajar methi),Main course,-,100g,61.92,4.17,2.1,3.81
Potato fenugreek (Aloo methi),Main course,-,100g,135.15,8.47,2.25,10.04
Brinjal bhartha (Baingan ka bhartha),Main course,-,100g,65.12,4.4,1.38,4.48
