Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Cheese toast,Snacks,-,100g,785.37,5.49,1.98,84.11
Vegetable burger,Snacks,-,100g,519.93,13.69,3.26,50.63
Cheese pizza,Snacks,-,100g,249.5,30.62,5.79,12.43
Vegetable seekh kebab,Snacks,-,100g,690.73,5.32,1.57,73.72
Masala vada,Snacks,-,100g,826.02,4.06,1.69,89.15
Peanut sago vada (Sabudana mungfali vada),Snacks,-,100g,749.89,7.14,1.01,79.82
Vegeterian scotch egg,Snacks,-,100g,681.67,4.64,2.16,72.77
Paneer shaslik/tikka,Snacks,-,100g,93.85,7.98,5.11,4.49
Peanut brittle (Moongfali ki chikki),Snacks,-,100g,320.46,47.46,6.94,11.13
Spring roll,Snacks,-,100g,623.87,8.56,1.81,64.63
Dry mango chutney (Sookhe aam ki chutney),Other,-,100g,298.13,69.17,2.43,0.7
Peanut chutney (Mungfali ki chutney),Other,-,100g,258.37,9.87,11.8,19.06
Coconut chutney (Nariyal ki chutney),Other,-,100g,265.92,8.29,3.59,25
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),Other,-,100g,102.6,21.18,2.81,0.51
Custard tart,Sweets,-,100g,225.6,28.66,3.72,10.73
Lemon tart,Sweets,-,100g,303.35,30.68,6.12,17.45
Jam tart,Sweets,-,100g,360.72,46.18,4.42,17.35
Orange cream tart,Sweets,-,100g,197.16,27.43,2.58,8.72
Pineapple tart,Sweets,-,100g,195.4,28.62,2.29,8.21
Cheese and mushroom tart,Sweets,-,100g,246.1,21.43,5.51,15.28
Cottage cheese pie,Sweets,-,100g,238.98,20.66,7.45,13.83
Minced meat pie,Sweets,-,100g,221.55,18.11,7.38,13.04
Apple cinnamon pie,Sweets,-,100g,258.73,33.68,3.35,12.21
Lemon meringue pie,Sweets,-,100g,224.43,35.11,3.88,8.16
Chocolate meringue pie,Sweets,-,100g,214.76,28.8,4.98,9.17
Cream puffs,Sweets,-,100g,221.33,16,4.7,15.48
Chocolate eclairs,Sweets,-,100g,239.42,26.22,4.24,13.5
Cheese balls,Sweets,-,100g,681.28,4.81,2.21,72.57
Minced meat patties,Snacks,-,100g,265.72,15.25,6.88,19.57
Cheese patties,Snacks,-,100g,324.01,22.23,7.38,22.67
Hot cheese souffle,Sweets,-,100g,177.1,5.41,9.18,13.23
Hot potato souffle,Sweets,-,100g,125.64,8.56,5.51,7.64
Hot fish souffle,Sweets,-,100g,142.92,3.69,11.23,9.24
Hot spinach souffle,Sweets,-,100g,104.25,4.19,5.43,7.24
Plain cream cake,Sweets,-,100g,353.94,47.18,6.18,16.17
Apple cake (Seb ka cake),Sweets,-,100g,290.08,39.48,4.94,12.87
Marble cake,Sweets,-,100g,354.11,46.88,6.3,16.27
Chocolate cake,Sweets,-,100g,335.61,45.14,6.01,15.18
Orange cake,Sweets,-,100g,357.61,48.28,6.1,16.21
Fruit Loaf,Sweets,-,100g,324.19,46.49,5.36,13.31
Banana cake (Kele ka cake),Sweets,-,100g,389.51,40,5.77,23.31
Chocolate chiffon cake,Sweets,-,100g,311.71,37.87,5.76,15.8
Christmas cake,Sweets,-,100g,372.95,48.29,5.49,16.88
Strawberry and vanilla cake with butter icing,Sweets,-,100g,370.54,44.25,3.89,20.39
EggleBeverages cake,Sweets,-,100g,318.08,46.14,8.12,11.75
SwiBeverages roll,Snacks,-,100g,251.87,48.34,7.3,3.77
Pineapple pastry,Sweets,-,100g,208.21,29.04,6.06,7.87
Black forest pastry,Sweets,-,100g,233.55,34.48,6.09,8.46
Coconut finger,Sweets,-,100g,274.86,42.56,7.09,8.86
Pineapple cake,Sweets,-,100g,195.57,23.51,5.01,9.34
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Snacks,-,100g,424.8,47.1,6.56,23.62
Chocolate chip cookies,Snacks,-,100g,425.29,57.98,5.79,19.38
Sweet plain biscuit,Snacks,-,100g,380.76,50.29,5.86,17.67
Chocolate biscuit,Snacks,-,100g,379.76,51.56,5.88,17.09
Coconut biscuit (Nariyal ke biscuit),Snacks,-,100g,434.98,42.9,5.78,27.16
Sweet and salty biscuit (Meethay aur namkeen biscuit),Snacks,-,100g,407.96,45.09,6.15,22.39
Peanut biscuit,Snacks,-,100g,401.05,46.72,8.45,20.41
Pin wheel biscuit,Snacks,-,100g,404.6,54.56,5.4,18.66
Saffron biscuit (Kesar biscuit),Snacks,-,100g,458.61,59.7,6.05,22.01
Masala biscuit,Snacks,-,100g,393.64,45.18,6.06,20.75
Ice box cookies,Snacks,-,100g,374.24,56.09,5.7,14.44
Ginger bread man,Snacks,-,100g,365,60.26,6.61,11.01
Danish cookies,Snacks,-,100g,475.33,58,5.33,24.92
Short bread cookies,Snacks,-,100g,443.09,64.82,6.03,17.98
Coffee biscuit,Snacks,-,100g,416.57,46.55,6.9,23
Melting moments,Snacks,-,100g,437.91,55.84,5.71,21.78
Ginger biscuit (Adarak ke biscuit),Snacks,-,100g,417.91,58.44,5.98,18.31
Soyabean muthias,Snacks,-,100g,839.33,3.7,2.46,90.45
Soyabean tikki,Snacks,-,100g,698.17,4.39,3.53,74.02
Soyabean namak paras,Snacks,-,100g,838.46,4.65,2.65,89.83
Peanut burfi (Moongfali ki burfi),Snacks,-,100g,550.99,48.14,9.31,36.84
Spinach peanut namak paras (Palak moongfali namak paras),Snacks,-,100g,740.16,6.62,1.65,78.51
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),Snacks,-,100g,758.89,7.63,2.08,80.04
Rice moong dal cheela (Chawal aur moong dal ka cheela),Snacks,-,100g,798.26,11.13,2.74,82.44
Split bengal gram sweet rice (Channa dal sweet rice),Snacks,-,100g,190.21,41.07,4.15,0.64
Sweet poori (Meethi poori),Snacks,-,100g,782.75,14.26,2.12,79.63
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),Snacks,-,100g,441.08,60,9.84,18.41
Spinach burfi (Palak burfi),Snacks,-,100g,121.17,12.76,2.71,6.81
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),Snacks,-,100g,366.59,62.66,9.51,7.93
Sprouted moong daliya,Snacks,-,100g,111.56,14.77,2.81,4.71
Sprouted moong poha,Snacks,-,100g,192.6,26.6,5.59,6.89
Pearl millet ladoo (Bajra ladoo),Sweets,-,100g,319.66,50.98,9.61,8.06
Paushtik ladoo,Sweets,-,100g,485.87,60.34,7.65,24.98
Paushtik roti,Sweets,-,100g,149.26,26.59,7.17,1.51
Semolina carrot vada (Suji gajar vada),Sweets,-,100g,699.53,6.52,1.56,74.07
Dhokla,Sweets,-,100g,216.49,30.68,13.45,5.28
Kashmiri tea (Kehwa),Beverages,-,100g,24.9,5.23,0.17,0.51
Steeped hot coffee,Beverages,-,100g,15.91,3.01,0.39,0.33
Hot chocolate,Beverages,-,100g,90.01,9.02,3.43,4.61
Cold coffee (with cream),Beverages,-,100g,82.76,11.98,1.93,3.29
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Beverages,-,100g,76.45,11.15,2.01,2.77
Flavoured milkshake,Beverages,-,100g,66.78,8.65,2.06,2.83
Jal jeera,Beverages,-,100g,30.24,6.7,0.44,0.26
Gingo,Beverages,-,100g,48.02,12.42,0.14,0.06
Mintade,Beverages,-,100g,40.32,10.59,0.03,0.02
Canjee,Main course,-,100g,6.61,0.44,0.24,0.42
Cauliflower canjee (Phoolgobhi ki canjee),Main course,-,100g,6.9,0.35,0.39,0.42
Potato canjee (Aloo canjee),Main course,-,100g,16.26,2.69,0.44,0.39
Vermicelli porridge (Semiya/Seviyan porridge),Main course,-,100g,78.4,10.56,2.5,2.98
Semolina upma (Suji/Rava upma),Main course,-,100g,147.89,16.31,3.3,7.49
Vermicelli upma (Semiya/Seviyan upma),Main course,-,100g,149.11,16.88,3.11,7.45
Rice upma,Main course,-,100g,151.27,17.96,2.63,7.46
Bread upma,Main course,-,100g,129.51,12.6,2.8,7.75
Vegetable upma,Main course,-,100g,146.47,16.46,4.73,6.63
Poha,Main course,-,100g,294.53,35.05,6.09,14.14
Vegetable poha,Main course,-,100g,180.52,21.52,4.89,8.07
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Main course,-,100g,154.89,19.42,6.97,5.11
Paneer stuffed cheela/chilla,Main course,-,100g,205.19,19.16,11.44,8.89
Indian style egg bhujia (Anda bhujia (Indian style)),Main course,-,100g,102.83,3.76,6.1,7.02
French omelette/omlet,Main course,-,100g,211.04,0.41,10.03,18.86
Puffy omelette/omlet,Main course,-,100g,188.15,0.08,8.82,16.84
Orange omelette/omlet,Main course,-,100g,194.66,1.68,8.93,16.84
Cheese and mushroom omelette/omlet,Main course,-,100g,205.63,1.68,9.69,17.82
Spanish omelette/omlet,Main course,-,100g,157.45,5.1,8.25,11.44
Mixed stock,Main course,-,100g,25.19,0.33,2.06,1.71
Meat stock,Main course,-,100g,24.48,0,2.1,1.78
White stock,Main course,-,100g,6.99,0.4,0.07,0.56
Meat consomme (with mutton),Main course,-,100g,29.76,0.51,14.86,13.68
Consomme au julienne,Main course,-,100g,27.76,1.49,12.49,10.66
Consomme au vermicelli,Main course,-,100g,29.94,1.3,15.23,12.98
Green pea soup (Matar ka soup),Other,-,100g,39.81,3.63,11.06,12.9
Spinach soup (Palak ka soup),Other,-,100g,32.59,3.03,10.54,14.26
Mixed vegetable soup,Other,-,100g,35.71,2.95,8.22,11.66
Cheese soup,Other,-,100g,41.13,1.87,12.39,17.07
Mulligatawny soup,Other,-,100g,54.42,8.24,11.26,13.28
Cream of carrot soup,Other,-,100g,59.77,5.69,8.27,12.35
Cream of broccoli soup,Other,-,100g,56.14,3.72,8.97,12.75
Cream of potato soup,Other,-,100g,60.2,6.14,8.1,12.05
Almond soup (Badam ka soup),Other,-,100g,78.65,3.68,10.13,13.8
Cold cucumber cream soup,Other,-,100g,11.88,1.76,0.34,0.34
Cold tomato soup,Other,-,100g,16.9,0.59,0.11,1.56
Chicken stew,Main course,-,100g,127.55,4.44,7.19,8.91
Veg paneer stew,Main course,-,100g,145.55,10.22,6.98,8.41
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),Main course,-,100g,191.27,26.37,4.37,7.27
Methi parantha/paratha,Main course,-,100g,148.36,22.19,4.27,4.34
Bathua poori,Main course,-,100g,598.79,13.85,2.35,59.14
Gram flour poori (Besan poori),Main course,-,100g,697.66,10.93,2.59,71.51
Beetroot poori (Chukandar ki poori),Main course,-,100g,527.66,12.29,1.91,52.18
Peas poori (Matar ki poori),Main course,-,100g,592.83,14.92,3.04,57.69
Peas kachori (Matar kachori),Main course,-,100g,584.68,13.25,3.21,57.51
Pizza,Main course,-,100g,146.77,9.94,6.85,8.72
Bacon and mushroom pancake,Main course,-,100g,157.67,8.47,6.82,10.6
Cheese and tomato pancake,Main course,-,100g,147.39,10.66,5.15,9.28
Minced meat pancake (with chicken),Main course,-,100g,116.04,8.18,12.01,10.48
Eggplant/Brinjal rice (Vangi bhat),Main course,-,100g,184.8,31.74,5.28,3.67
Kashmiri 'tahar',Main course,-,100g,98.21,19.11,1.95,1.37
Cumin pulao (Jeera/Zeera pulao),Main course,-,100g,135.24,23.61,2.47,3.2
Peas pulao (Matar pulao),Main course,-,100g,108.87,18.42,3.89,1.9
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Main course,-,100g,116.53,19.72,3.6,2.3
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Main course,-,100g,125.51,21.55,3.44,2.58
Mutton pulao,Main course,-,100g,130.77,11.26,6.52,10.78
Chicken pulao,Main course,-,100g,108.24,11.17,6.07,8.48
Mexican rice,Main course,-,100g,120.57,14.21,4.62,4.88
Plain khitchdi (Plain khichri/khichdi),Main course,-,100g,57.03,10.04,1.72,1.01
Instant idli (with semolina),Main course,-,100g,247.29,43.4,9.16,3.61
Plain dosa,Main course,-,100g,380.91,64.08,10.34,8.43
Masala dosa mixed vegetable fillings,Main course,-,100g,144.53,23.02,4.84,3.26
Masala dosa paneer fillings,Main course,-,100g,243.12,29.76,10.31,8.84
Uttapam,Main course,-,100g,255.95,36.28,6.18,9.03
Appam,Main course,-,100g,267.7,13.28,3.12,22.63
Beans and macaroni,Main course,-,100g,136.08,14.24,4.58,7.01
Spaghetti bolognese,Main course,-,100g,97.43,10.04,9.35,9.51
Meat and macaroni caBeverageserole,Main course,-,100g,161.55,16.12,9.15,10.17
Spaghetti with meat balls and tomato sauce,Main course,-,100g,158.13,10.46,5.61,10.64
Spaghetti with paneer balls and tomato sauce,Main course,-,100g,158.54,12.72,3.95,10.44
Lasagne with meat sauce,Main course,-,100g,63.38,5.38,2.9,3.43
Lasagne with vegetables,Main course,-,100g,49.23,5.9,1.71,2.16
Home made egg noodles,Main course,-,100g,240.84,42.92,6.55,4.37
Sour lentils (Khatti dal),Main course,-,100g,34.79,6.04,2.22,0.12
Urad special dehusked,Main course,-,100g,69.43,8.86,3.14,2.17
Arhar with spinach (Arhar dal aur palak),Main course,-,100g,52.84,4.77,2.05,2.76
Moong dal with vadi,Main course,-,100g,24.08,1,0.4,2.05
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),Main course,-,100g,26.74,3.37,1.13,0.88
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),Main course,-,100g,24.41,2.85,1.11,0.87
Green gram whole with baghar (Sabut moong dal with tadka),Main course,-,100g,63.43,6.8,3.23,2.48
Urad sabut special,Main course,-,100g,79.39,5.03,2.33,5.46
Kabuli channa curry,Main course,-,100g,68.57,7.63,2.92,3.06
Besan gatte curry,Main course,-,100g,189.38,16.26,7.75,10.72
Dry masala chops,Main course,-,100g,135.07,3.3,9.08,9.54
Mutton korma,Main course,-,100g,115.64,2.53,7.09,8.54
Shahi keema kofta curry,Main course,-,100g,418.13,1.73,4.14,43.83
Minced meat ball curry,Main course,-,100g,109.79,2.86,6.82,7.85
Boti kebab,Main course,-,100g,132.86,3.06,9.22,9.27
Mutton seekh kebab,Main course,-,100g,133.94,3.11,11.25,8.43
Indian lamb and egg curry (Nargisi kofta),Main course,-,100g,335.75,2.07,3.84,34.7
Soya chunks sweet and sour (Nutrinugget sweet and sour),Main course,-,100g,500.94,3.27,2.85,55.99
Soya chunks korma (Nutrinugget korma),Main course,-,100g,131.43,7.67,3.86,9.5
Mushroom matar,Main course,-,100g,70.77,5.33,2.79,4.11
Soya chunks and peas (Nutrinugget matar),Main course,-,100g,82.62,5.82,3.03,5.11
Vegetable yakhni,Main course,-,100g,406.06,1.94,1.18,43.8
Spinach mushroom (Palak mushroom),Main course,-,100g,47.63,2.95,1.94,2.96
Vegetarian nargisi kofta curry,Main course,-,100g,332.15,6.58,2.29,32.94
Roast chicken,Main course,-,100g,199.9,0.1,20.49,13.06
Shahi chicken masala,Main course,-,100g,163.7,4.07,9.82,12.02
Tomato chicken,Main course,-,100g,111.68,2.13,10.57,6.71
Creamy chicken,Main course,-,100g,152.87,3.13,13.52,9.57
Broccoli chicken ala king,Main course,-,100g,119.56,5.34,7.97,7.57
Ginger chicken,Main course,-,100g,129.17,5.6,8.24,8.24
Chicken sweet and sour,Main course,-,100g,445.09,2.67,6.92,47.59
Chicken korma,Main course,-,100g,147.96,5.43,9.83,9.67
Bengal fish curry (Bengali machli curry),Main course,-,100g,109.43,4.42,7.26,7.03
Fish finger,Main course,-,100g,542.9,4.47,5.66,55.82
Fish in coconut milk (Nariyal ke doodh ke saath machli),Main course,-,100g,86.21,2.73,8.66,4.43
Prawn curry (with coconut) (Jhinga curry),Main course,-,100g,109.55,3.1,8.54,6.93
Baked stuffed fish,Main course,-,100g,121.96,2.12,16.14,5.43
Fish pie,Main course,-,100g,120.9,7.74,9.25,5.77
Crispy baked fish,Main course,-,100g,138.4,9.59,10.95,6.41
Fish souffle,Main course,-,100g,139.71,5.14,10.51,8.55
Potato curry (Aloo ki sabzi),Main course,-,100g,89.56,10.42,1.52,4.47
Egg curry (Anda curry),Main course,-,100g,117.52,4.03,5.38,8.81
Vegetable curry with coconut,Main course,-,100g,83.07,7.19,2.77,4.66
Curd with potatoes (Dahi aloo),Main course,-,100g,59.9,7.15,1.56,2.72
Potato kofta curry (Aloo kofta curry),Main course,-,100g,455.4,2.78,0.56,49.08
Yam kofta curry (Zimikand/Suran kofta curry),Main course,-,100g,322.88,3.75,0.71,33.84
Jackfruit kofta curry (Kathal ka kofta curry),Main course,-,100g,321.08,3.17,0.8,33.83
Spinach and potato (Palak aloo),Main course,-,100g,57.17,5.91,1.63,2.82
Mooli bhujia,Main course,-,100g,91.2,4.74,1.69,7.25
Bathua bhujia,Main course,-,100g,90.9,3.63,2.26,7.29
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),Main course,-,100g,142.48,6.09,8.21,9.36
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),Main course,-,100g,124.63,7.03,5.76,8.17
Dry arbi (Sookhi arbi),Main course,-,100g,134.95,11.11,2.12,8.97
Masala arbi,Main course,-,100g,185.38,16.16,3.01,11.9
Peas brinjal bhartha (Matar baingan bhartha),Main course,-,100g,84.55,5.02,2.05,6.05
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),Main course,-,100g,110.81,4.5,1.83,9.27
Crispy okra/Crispy lady's fingers (Karare bhindi),Main course,-,100g,657.76,4.35,1.91,70.4
Beans foogath,Main course,-,100g,105.06,3.26,2.03,9.22
Stuffed bittergourd (wet) (Bharwa karele),Main course,-,100g,162.36,4.68,1.36,15.24
Jackfruit/Kathal (dry),Main course,-,100g,488.97,4.56,0.93,51.78
Yam fried (Zimikand/Suran fried),Main course,-,100g,491.76,5.47,0.79,51.79
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",Main course,-,100g,95.67,8.23,2.75,5.54
Vegetable jalfrezi,Main course,-,100g,68.48,5.43,1.4,4.38
Vegetables stir fry,Main course,-,100g,30.78,3.19,1.04,1.47
Broccoli delight,Main course,-,100g,40.7,2.34,2.49,2.48
Dhansak (vegetarian),Main course,-,100g,82.8,7.28,3.32,4.18
Cauliflower basket,Main course,-,100g,90.95,3.97,5.21,5.88
Stuffed bottle gourd (Stuffed ghiya/lauki),Main course,-,100g,93.19,4.36,5.84,5.8
Ducheese potato,Main course,-,100g,140.54,10.94,3.6,9.01
Roast potatoes,Main course,-,100g,87.32,14.52,1.53,2.35
Stuffed baked potatoes,Main course,-,100g,100.2,11.03,3.82,4.39
Potato nests,Main course,-,100g,111.62,11.05,5.71,4.77
Parsley potato,Main course,-,100g,119.51,13.81,1.49,6.28
Creamed spinach and mushroom,Main course,-,100g,419.62,3.17,2.28,44.14
FricaBeveragesee of Mushroom,Main course,-,100g,106.66,8.13,3.65,6.63
Cauliflower au gratin,Main course,-,100g,145.9,9.13,4.45,10.2
Vegetable and cheese pie,Main course,-,100g,126.88,8.76,4.03,8.28
Spinach souffle,Main course,-,100g,150.18,6.27,7.36,10.52
Beetroot and egg salad (Chukandar aur ande ka salad),Main course,-,100g,84.92,3.4,3.36,6.45
Sour cream potato salad,Main course,-,100g,121.9,9.05,2.89,8.13
ToBeveragesed green salad,Main course,-,100g,49.88,3.82,1.33,3.24
Spring basket salad,Main course,-,100g,160.46,11.61,3.36,11.3
Cucumber and yogurt salad (Kheere aur dahi ka salad),Main course,-,100g,36.13,4.72,2.09,0.93
Chicken and tomato towers,Main course,-,100g,100.55,2.36,6.9,6.99
Jellied sunshine fruit salad,Main course,-,100g,48.86,4.21,5.85,0.85
Tomato aspic,Main course,-,100g,50.37,5.02,6.87,0.26
Frozen frosty fruit salad (Phalon ka salaad),Main course,-,100g,103.51,15.61,1.68,4.17
French dreBeveragesing,Main course,-,100g,733.77,3.68,0.32,79.65
Mayonnaise without eggs,Main course,-,100g,329.05,3.98,2.13,33.84
Curd dreBeveragesing,Main course,-,100g,78.8,8.03,5.59,2.9
Carrot raita (Gajar ka raita),Other,-,100g,64.78,7.19,4.14,2.19
Pumpkin raita (Kaddu ka raita),Other,-,100g,55.6,6.02,3.74,1.88
Mint and peanut raita (Pudinay aur moongfali ka raita),Other,-,100g,112.05,7.31,7.05,6.19
Spinach raita (Palak ka raita),Other,-,100g,52.75,5.06,3.95,1.86
Bathua raita,Other,-,100g,54.4,5.31,4.13,1.76
Pineapple raita (Ananas ka raita),Other,-,100g,67.74,8.62,3.9,2.02
Banana raita (Kele ka raita),Other,-,100g,89.03,13.51,4.13,2.07
Mango raita (Aam ka raita),Other,-,100g,67.37,8.23,3.9,2.14
Guava raita (Amarood ka raita),Other,-,100g,64.36,7.27,4.19,2.07
Grapes raita (Angoor ka raita),Other,-,100g,72.59,9.66,3.98,2.07
Bottle gourd kheer (Ghiya/Lauki kheer),Sweets,-,100g,84.07,10,2.7,3.86
Pumpkin kheer (Kaddu ki kheer),Sweets,-,100g,86.35,10.44,2.76,3.86
Apple kheer (Seb ki kheer),Sweets,-,100g,81.3,11.34,2.14,3.18
Caramel custard (baked),Sweets,-,100g,122.7,14.95,5.11,5.01
Vanilla ice cream without egg,Sweets,-,100g,228.67,14.21,2.69,18.15
Vanilla ice cream with egg,Sweets,-,100g,214.85,11.71,4.16,17.02
Strawberry ice cream,Sweets,-,100g,215.61,12.26,4.15,16.96
Chocochip ice cream,Sweets,-,100g,241.45,16.75,4.23,17.93
Choconut ice cream,Sweets,-,100g,273.96,23.13,5.04,18.49
Pear chocholate sunday,Sweets,-,100g,183.49,15.02,2.08,13.11
Chocolate sauce,Sweets,-,100g,263.2,43.21,1.91,10.39
Coffee ice cream,Sweets,-,100g,150.62,14.09,3.15,9.43
Coffee pear alaska,Sweets,-,100g,203.99,19.36,2.88,13.22
Crunchy butterscotch,Sweets,-,100g,277.32,19.92,3.11,20.99
Peach melba ice cream,Sweets,-,100g,200.85,16.31,2.06,14.51
Vanilla ice cream with apples in hot cherry sauce,Sweets,-,100g,196.32,22.75,1.73,11.45
Grape and orange whip,Sweets,-,100g,57.39,6.72,1.41,2.62
Honey banana cream,Sweets,-,100g,125.49,13.64,2.78,6.68
Raspberry bavarian cream,Sweets,-,100g,150.1,17.82,3.34,7.88
Fruit delight,Sweets,-,100g,107.09,9.11,2.09,7.09
Creamy chocolate mouBeveragese,Sweets,-,100g,230.52,9.53,6.85,18.16
Cold lemon souffle,Sweets,-,100g,169.87,15.62,5.89,9.78
Cold orange souffle,Sweets,-,100g,173.19,16.27,5.94,9.82
Cold pineapple souffle,Sweets,-,100g,181.22,16.85,6.23,10.39
Cold vanilla souffle,Sweets,-,100g,179.54,16.29,6.22,10.32
Cold chocolate souffle,Sweets,-,100g,187.53,17.22,6.37,10.86
Stewed fruit (with pear),Sweets,-,100g,74.32,18.22,0.25,0.32
Apricot fool,Sweets,-,100g,240.79,33.64,1.54,11.35
Pavlova,Sweets,-,100g,200.6,21.84,1.84,12.29
Apple crumb pudding,Sweets,-,100g,220.85,35.17,1.54,8.87
Steamed cake with chocolate sauce,Sweets,-,100g,301.91,29.06,4.49,19.01
Hot lemon souffle,Sweets,-,100g,155.25,16.31,5.29,7.93
Gulab jamun with milk powder,Sweets,-,100g,471.15,28.24,0.85,40.15
Chum chum,Sweets,-,100g,130.05,28.27,1.52,1.92
Dil bahar,Sweets,-,100g,130.05,28.27,1.52,1.92
Rasbhari,Sweets,-,100g,130.05,28.27,1.52,1.92
Rajbogh,Sweets,-,100g,133.7,28.16,1.71,2.28
Rasgulla,Sweets,-,100g,118.64,25.79,1.38,1.75
Rasmalai,Sweets,-,100g,135.55,29.17,1.61,2.11
Khoa coconut burfi,Sweets,-,100g,411.45,36.55,9.98,26.01
Danedar burfi,Sweets,-,100g,102.68,12.33,3.24,4.72
Semolina burfi (Suji/Rava burfi),Sweets,-,100g,348.67,47.1,3.47,16.86
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),Sweets,-,100g,186.18,17.02,1.75,12.66
Khoa ladoo,Sweets,-,100g,396.02,34.43,12.21,24.09
Wheat and gram flour ladoo (Atta besan ladoo),Sweets,-,100g,501.7,50.5,9.38,29.86
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),Sweets,-,100g,441.84,48.02,5.44,25.45
Sesame chickpeas brittle (Til aur channe ki chikki),Sweets,-,100g,282.74,50.49,8.5,4.66
Murmura chikki,Sweets,-,100g,253.82,59.59,2.12,0.32
Masala onion pakora/pakoda (Pyaaz ke pakode),Snacks,-,100g,551.64,6.48,2.05,57.61
Masala green chilli pakora/pakoda (Hari mirch kay pakode),Snacks,-,100g,668.76,5.55,2.22,71.01
Chicken pakora/pakoda,Snacks,-,100g,590.09,4.55,6.03,60.98
Fish pakora/pakoda,Snacks,-,100g,577.03,4.55,5.97,59.52
Paneer cutlet,Snacks,-,100g,672.2,7.62,4.59,69.38
Sago cutlet/vadas (Sabudana cutlet/vadas),Snacks,-,100g,558.76,11.23,0.56,56.97
Poshtik cutlet,Snacks,-,100g,496.45,7.39,2,50.94
Egg cutlet (Anda cutlet),Snacks,-,100g,575.02,5.77,2.45,60.25
Minced meat cutlet,Snacks,-,100g,531.86,5.61,5.1,54.47
Vegetable samosa,Snacks,-,100g,443.11,13.22,2.21,42.22
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),Snacks,-,100g,745.5,9.7,4.39,76.32
Masala urad dal vada,Snacks,-,100g,703.78,9.93,4.32,71.62
Khaman (dhokla),Snacks,-,100g,54.73,5.36,1.92,2.8
Instant dhokla,Snacks,-,100g,207.11,24.11,7.66,9.37
Tomato ginger chutney (Tamatar adarak ki chutney),Snacks,-,100g,44.66,9.11,1.05,0.32
Mint tomato chutney (Pudinay aur tamatar ki chutney),Snacks,-,100g,43.65,8.22,1.53,0.36
Coriander chutney (Hare dhaniye ki chutney),Snacks,-,100g,42.86,8.16,1.38,0.37
Gooseberry chutney (Amla chutney),Snacks,-,100g,43.02,8.83,1.44,0.62
Walnut chutney (Akhrot ki chutney),Snacks,-,100g,370.43,8.91,9.44,33.46
Saunth/Sonth chutney with ginger,Snacks,-,100g,84.22,20.62,0.28,0.11
Gun powder chutney,Snacks,-,100g,312.34,47.65,21.55,2.67
DeBeveragesicated coconut chutney (Sookhe kase nariyal ki chutney),Snacks,-,100g,346.36,36.72,12.88,15.88
Curd mint dip,Snacks,-,100g,76.13,9.11,4.82,2.44
Curd vegetable dip,Snacks,-,100g,56.21,6.04,3.88,1.94
Mayonnaise vegetable dip,Snacks,-,100g,241.27,4.8,3.01,23.44
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),Snacks,-,100g,150.68,20.51,4.03,6.31
Tomato sandwich (grilled),Snacks,-,100g,189.92,21.29,6.26,9.39
French sandwich (toasted),Snacks,-,100g,186.75,14.82,6.82,11.51
Peanut butter cucumber sandwich,Snacks,-,100g,243.33,29.76,9.04,10.56
Mint and peanut sandwich,Snacks,-,100g,273.59,31.83,7.18,13.88
Spicy chutney sandwich,Snacks,-,100g,249.58,34.03,8.74,9.58
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Snacks,-,100g,285.78,22.62,12.58,16.77
Rolled sandwich,Snacks,-,100g,293.07,34.69,6.45,15.29
Ribbon sandwich,Snacks,-,100g,239.26,24.76,6.26,13.37
Checker board sandwich,Snacks,-,100g,348.37,25.94,7.37,24.65
Submarine sandwich,Snacks,-,100g,216.92,13.6,6.09,15.32
Cheese open sandwich,Snacks,-,100g,274.07,28.42,9.84,14.24
Sunset and sunrise open sandwich,Snacks,-,100g,241.31,18.89,8.58,15.14
Danish luncheon sandwich,Snacks,-,100g,193.82,17.77,9.03,10.1
Chicken and corn open sandwich,Snacks,-,100g,188.16,19.21,8.63,8.83
Chocolate sponge cake,Snacks,-,100g,239.86,39.54,9.13,5.51
